0min 100W,,,,60min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,,,,,75min 50W,,,,,,,,0 min 100W,,,,,,,,60 min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,75min 50W,,,,,,0 min 100W 100%,60 min 100W 100%,,,,,0 min 50W 100%,,,,,75 min 50W 100%,,,0min 100W 11-16%,,,60min 100W 11-16%,,,,,,0min 50W 11-16%,,,75min 50W 11-16%,,,,1020,,,,,,,,,,,60 min 100W,absolute error ,0 min 100 W,error,75min 50W,error,0 min 50 W,error,,
,,110923,,,,101223,,092823 - IR out,,91523,,83123,,102824,,Average,st. dev.,,,010324 -2nd good,,122123 -power surge,,122723 -purge,,121823 -oscillate,,Average,st. dev.,,,010523,,122923 -purge,,Average,st. dev.,,,81524,,81624,,Average,st. dev.,,,71824,,090324 -purge,,92424,,100824 -purge,,101524,,Average,st. dev.,,,82724,,083024 -purge,,Average,st. dev.,,,91724,,,,110923,101223,92823,91523,83123,ave,10324,122123,122723,121823,ave,10524,122923,ave,81524,81624,ave,71824,90324,92424,100824,101524,ave,82724,83024,ave,91724,,,,100%,,,,14-19%,,,,percentage,thickness,,0,0,0,0,0,0,0,0,,
Temp,Fluence,Integrated Absorbance,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,,,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,,,,temp,fluence,norm. int. absorbance,error,temp,fluence,norm. int. absorbance,error,,,,1.62E+17,4.2E+16,1.62E+17,4.2E+16,1.515E+17,2.25E+16,1.515E+17,2.25E+16,,0
310K,4.86E+18,-0.0011,-0.000169989,250K,4.86E+18,-0.0025,-0.000386817,-0.00114,-0.000211738,0.00157,0.000272996,0.0016,0.000594045,,,0.000218434,,310K,4.545E+18,-0.0018,-0.000261059,-0.0032,-0.000501253,0.00506,0.000748078,-0.00226,-0.00033939,-8.8406E-05,,250K,4.545E+18,-0.00226,-0.000349575,-0.0051,-0.000834697,-0.000592136,,310K,4.86E+18,-0.00145,-0.001723113,0.00082,0.000796658,-0.000463228,,250K,4.86E+18,-0.0005,-0.000457206,-0.00112,-0.001495726,0.00251,0.002671634,-0.0033,-0.003811944,0.00187,0.001921299,-0.000234389,,310K,4.545E+18,-0.00036,-0.000520156,-0.00269,-0.003084509,-0.001802332,,250K,4.545E+18,0.00284,0.003273775,,,9.53645E-06,7.8122E-06,1.18786E-05,1.53152E-05,3.33261E-05,1.7083E-05,1.46455E-05,2.81205E-05,4.19674E-05,1.90399E-05,2.59433E-05,1.54919E-05,3.69909E-05,2.62414E-05,9.66672E-05,4.46928E-05,7.068E-05,2.56494E-05,8.39107E-05,0.000149879,0.000213851,0.000107785,0.000116215,2.91809E-05,0.000173042,0.000101111,0.00018366,,,,,,,,,,,,,,,,,,,,,,,,
,,,,260K,5.022E+18,,,,,,,,,,,,,,,,,,,,,,,,,260K,4.6965E+18,-0.00287,-0.000443929,-0.00455,-0.000744681,-0.000594305,,,,,,,,,,260K,5.022E+18,,,-0.00148,-0.001976496,0.00166,0.001766897,-0.0008,-0.000924108,0.00143,0.001469228,8.38806E-05,,,,,,,,,,260K,4.6965E+18,0.00007,8.06916E-05,,,,,,,,,,,,,,1.96734E-05,3.30017E-05,2.63375E-05,,,,,0.000110882,9.91235E-05,5.18427E-05,8.24242E-05,8.60681E-05,,,,4.52683E-06,,,,,,,,,,,,,,,,,,,,,,,,
,,,,270K,5.184E+18,-0.0015,-0.00023209,-0.00023,-4.27192E-05,-0.0001,-1.73883E-05,,,,,-3.00537E-05,,,,,,,,,,,,,,270K,4.848E+18,0.00068,0.000105182,0.00053,8.6743E-05,9.59624E-05,,,,,,,,,,270K,5.184E+18,-0.0011,-0.001005852,-0.00418,-0.005582265,-0.00287,-0.003054816,-0.0029,-0.00334989,-0.00116,-0.001191822,-0.002836929,,,,,,,,,,270K,4.848E+18,-0.00085,-0.000979827,,,,1.73605E-05,2.39656E-06,9.75488E-07,,6.91083E-06,,,,,,4.66129E-06,3.84415E-06,4.25272E-06,,,,5.64286E-05,0.000313167,0.000171376,0.00018793,6.68616E-05,0.000159153,,,,5.49686E-05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,280K,5.346E+18,,,,,,,,,,,,,,,,,,,,,,,,,280K,4.9995E+18,-0.00136,-0.000210363,-0.00194,-0.000317512,-0.000263938,,,,,,,,,,280K,5.346E+18,,,-0.00226,-0.003018162,0.00136,0.001447578,-0.0003,-0.00034654,0.00017,0.000174664,-0.000435615,,,,,,,,,,280K,4.9995E+18,-0.00059,-0.000680115,,,,,,,,,,,,,,9.32259E-06,1.40711E-05,1.16968E-05,,,,,0.00016932,8.12096E-05,1.9441E-05,9.79868E-06,6.99423E-05,,,,3.81547E-05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,290K,5.508E+18,0.0021,0.000324927,-0.00101,-0.000187593,-0.0005,-8.69414E-05,,,,,-0.000137267,,,,,,,,,,,,,,290K,5.151E+18,-0.00061,-9.43542E-05,-0.00399,-0.000653028,-0.000373691,,,,,,,,,,290K,5.508E+18,-0.0023,-0.002103146,-0.00257,-0.003432158,0.0032,0.003406067,0.0004,0.000462054,-0.00067,-0.00068838,-0.000471113,,,,,,,,,,290K,5.151E+18,-0.00063,-0.000726225,,,,7.8122E-06,1.0524E-05,4.87744E-06,,7.73789E-06,,,,,,4.18145E-06,2.89399E-05,1.65607E-05,,,,0.000117987,0.000192545,0.000191081,2.59214E-05,3.86183E-05,0.000113231,,,,4.07414E-05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,300K,5.67E+18,,,,,,,,,,,,,,,,,,,,,,,,,300K,5.3025E+18,-0.00068,-0.000105182,-0.00212,-0.000346972,-0.000226077,,,,,,,,,,300K,5.67E+18,,,-0.00468,-0.00625,0.00213,0.002267163,-0.0037,-0.004273998,0.00265,0.002722696,-0.001383535,,,,,,,,,,300K,5.3025E+18,0.00113,0.001302594,,,,,,,,,,,,,,4.66129E-06,1.53766E-05,1.0019E-05,,,,,0.000350627,0.000127189,0.000239773,0.000152744,0.000217583,,,,7.30759E-05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,310K,5.832E+18,-0.00001,-1.54727E-06,-0.00058,-0.000107727,-0.00077,-0.00013389,,,,,-0.000120808,,,,,,,,,,,,,,310K,5.454E+18,0.00107,0.000165507,-0.0041,-0.000671031,-0.000252762,,,,,,,,,,310K,5.832E+18,0.0018,0.00164594,-0.00528,-0.007051282,0.00114,0.001213411,-0.0023,-0.00265681,0.00376,0.003863146,-0.000597119,,,,,,,,,,310K,5.454E+18,0.00179,0.002063401,,,,1.30203E-05,6.0435E-06,7.51126E-06,,8.85836E-06,,,,,,7.33468E-06,2.97378E-05,1.85362E-05,,,,9.23377E-05,0.000395579,6.80728E-05,0.000149048,0.000216724,0.000184352,,,,0.000115757,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-CHO/H2CO Production/Sublimation 1720/1746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100% Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-16% Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720/1746 cm-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0min 100W,,,,60min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,,,,,75min 50W,,,,,,,,0 min 100W,,,,,,,,60 min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,75min 50W,,,,,,0 min 100W 100%,60 min 100W 100%,,,,,0 min 50W 100%,,,,,75 min 50W 100%,,,0min 100W 11-16%,,,60min 100W 11-16%,,,,,,0min 50W 11-16%,,,75min 50W 11-16%,,,,1720/1746,,,,,,,,,,,,,,,,,,,,
,,110923,,,,101223,,092823 - IR out,,91523,,83123,,102824,,Average,st. dev.,,,010324 -2nd good,,122123 -power surge,,122723 -purge,,121823 -oscillate,,Average,st. dev.,,,010523,,122923 -purge,,Average,st. dev.,,,81524,,81624,,Average,st. dev.,,,71824,,090324 -purge,,92424,,100824 -purge,,101524,,Average,st. dev.,,,82724,,083024 -purge,,Average,st. dev.,,,91724,,,,110923,101223,92823,91523,83123,ave,10324,122123,122723,121823,ave,10524,122923,ave,81524,81624,ave,71824,90324,92424,100824,101524,ave,82724,83024,ave,91724,,,,100%,,,,14-19%,,,,,,,,,,,,,,,,
Temp,Fluence,Integrated Absorbance,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,,,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,,fluence,normalized absorbance,temp,fluence,norm. int. absorbance,error,temp,fluence,norm. int. absorbance,error,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1.54E+17,0.054906954,0.015293123,20,1.54E+17,0.232810008,0.064844102,,,,,,,,,,,,,
20K,1.62E+17,0.3289,0.050826766,10,1.62E+17,0.7611,0.117762649,0.2006,0.037258544,0.3021,0.052529995,0.2734,0.101507388,,,0.063765309,0.038471158,20K,1.515E+17,0.2772,0.040203046,0.1913,0.029965539,0.23,0.034003548,0.2249,0.03377384,0.034647475,0.004237103,12.5,1.515E+17,0.2253,0.034849188,0.192,0.031423895,0.033136542,0.001712647,20K,1.62E+17,0.1582,0.187997623,0.22483,0.218430001,0.203213812,0.021518941,10,1.62E+17,0.3109,0.284290417,0.2106,0.28125,0.408,0.43427355,0.3593,0.415039852,0.2453,0.252029179,0.3333766,0.084547501,20K,1.515E+17,0.1091,0.158,0.13,0.149,0.1535,0.006363961,12.5,1.515E+17,0.2537,0.292449568,,,0.014156677,0.032800193,0.010377547,0.014631074,0.028272648,0.021520365,0.011197673,0.008346241,0.00947094,0.00940696,0.009605453,0.009632164,0.008685428,0.009158796,0.052362599,0.060838868,0.056600733,0.079182837,0.078335995,0.120957336,0.115600213,0.070197179,0.092854712,0.043906087,0.041518906,0.042712497,0.081455388,,,,50,6.17E+17,0.084658273,0.023579698,50,6.17E+17,0.553953155,0.154291455,,,,,,,,,,,,,
30K,3.24E+17,0.4476,0.069170144,20,3.24E+17,0.9282,0.143617515,0.2939,0.054587667,0.4011,0.069744392,0.3281,0.121816292,,,0.08204945,0.042150269,30K,3.03E+17,0.4216,0.061145758,0.293,0.04589599,0.3383,0.050014784,0.3534,0.053071032,0.053370927,0.006451366,25,3.03E+17,0.3753,0.058051044,0.269,0.044026187,0.051038616,0.007012429,30K,3.24E+17,0.2239,0.26607249,0.26069,0.253269212,0.259670851,0.009053285,20,3.24E+17,0.4673,0.427304316,0.3432,0.458333333,0.5964,0.634805748,0.5273,0.60910246,0.391,0.401726087,0.506254389,0.10788754,30K,3.03E+17,0.1631,0.236,0.1916,0.22,0.228,0.011313708,25,3.03E+17,0.291,0.335446686,,,0.019265821,0.040001497,0.015204193,0.019425765,0.033929246,0.027140175,0.017030805,0.012783318,0.013930517,0.014781767,0.014631602,0.016045056,0.012168646,0.014106851,0.074108634,0.070542563,0.072325598,0.11901621,0.127658659,0.176811165,0.16965208,0.111891957,0.141006014,0.06563779,0.06119248,0.063415135,0.093431289,,1.62E+17,0.063765309,100,1.39E+18,0.071648645,0.019956153,70,9.26E+17,0.55654102,0.155012248,,,,,,,,,,,,,
40K,4.86E+17,0.5602,0.086570855,30,4.86E+17,0.9754,0.150920625,0.3643,0.067663447,0.4489,0.07805599,0.5385,0.19993317,,,0.115217536,0.062650202,40K,4.545E+17,0.5279,0.076562727,0.3833,0.060040727,0.3871,0.05722945,0.4234,0.063583121,0.066728858,0.008544215,37.5,4.545E+17,0.4593,0.071044084,0.323,0.052864157,0.061954121,0.009089963,40K,4.86E+17,0.3175,0.377302436,0.32472,0.315476538,0.346389487,0.043717512,30,4.86E+17,0.57,0.521214338,0.3295,0.440037393,0.7015,0.746673763,0.6069,0.701051173,0.4819,0.495119696,0.580819273,0.134796258,40K,4.545E+17,0.1948,0.281,0.2318,0.266,0.2735,0.010606602,37.5,4.545E+17,0.2839,0.327262248,,,0.024112406,0.042035617,0.018846164,0.021740778,0.055686983,0.034577385,0.021324862,0.016723023,0.015940003,0.017709678,0.017924392,0.019636275,0.014611423,0.017123849,0.105089287,0.087869044,0.096479165,0.145172779,0.122562728,0.207969538,0.195262369,0.137904691,0.161774421,0.078395104,0.074031403,0.076213253,0.091151694,,3.24E+17,0.08204945,130,1.85E+18,0.058659301,0.016338257,100,1.39E+18,0.467103776,0.130322458,,,,,,,,,,,,,
50K,6.48E+17,0.6754,0.104373358,40,6.48E+17,1.0379,0.160591057,0.4266,0.07923477,0.4942,0.085932881,0.5107,0.189611643,,,0.118259765,0.05478145,50K,6.06E+17,0.5757,0.083495286,0.4251,0.066588346,0.4082,0.060348906,0.4593,0.06897432,0.073019317,0.009795744,50,6.06E+17,0.5088,0.078700696,0.369,0.060392799,0.069546748,0.009153948,50K,6.48E+17,0.3546,0.421390374,0.35155,0.341542796,0.381466585,0.056460764,40,6.48E+17,0.6248,0.571324067,0.3228,0.431089744,0.7391,0.786695051,0.6717,0.775903893,0.5673,0.582862427,0.629575036,0.150889436,50K,6.06E+17,0.2034,0.294,0.2643,0.303,0.2985,0.006363961,50,6.06E+17,0.3762,0.433659942,,,0.029070901,0.044729103,0.022069101,0.023934712,0.052812149,0.035886266,0.023255774,0.018546718,0.016808859,0.019211278,0.019455657,0.021752529,0.016692306,0.019222418,0.117369011,0.095129226,0.106249119,0.15912974,0.120070557,0.219116586,0.216110947,0.162343496,0.175354265,0.081856078,0.08441113,0.083133604,0.120786429,,4.86E+17,0.115217536,150,2.16E+18,0.023206723,0.006463722,130,1.85E+18,0.293110618,0.081639509,,,,,,,,,,,,,
60K,8.1E+17,0.7016,0.108422191,50,8.1E+17,,,0.4647,0.086311293,0.5545,0.096418014,0.5699,0.211591297,,,0.131440201,0.069596588,60K,7.575E+17,0.6105,0.088542422,0.4494,0.070394737,0.4003,0.059180958,0.5067,0.076092506,0.078343222,0.012215592,62.5,7.575E+17,0.5591,0.086481052,0.418,0.068412439,0.077446746,0.009034307,60K,8.1E+17,0.4114,0.488888889,0.32518,0.315923443,0.402406166,0.12230504,50,8.1E+17,0.6737,0.616038771,0.2796,0.373397436,0.6629,0.705588079,0.7393,0.85399099,0.6598,0.677899928,0.645383041,0.175382814,60K,7.575E+17,0.2233,0.323,0.2645,0.303,0.313,0.014142136,62.5,7.575E+17,0.4308,0.496599424,,,0.030198614,,0.02404011,0.026855115,0.058934097,0.036609774,0.024661542,0.019606904,0.016483553,0.021193892,0.020486473,0.023902986,0.0189089,0.021405943,0.136169236,0.08799352,0.112081378,0.171584037,0.104001635,0.196526025,0.237860388,0.1888141,0.179757237,0.089864613,0.084475005,0.087169809,0.138316836,,6.48E+17,0.118259765,,,,,150,2.16E+18,0.205664017,0.057283184,,,,,,,,,,,,,
70K,9.72E+17,0.7411,0.114526348,60,9.72E+17,1.0568,0.163515395,0.538,0.099925706,0.5948,0.103425491,0.4445,0.165033044,,,0.122794747,0.036174868,70K,9.09E+17,0.6362,0.092269761,0.4584,0.071804511,0.4257,0.062936132,0.5189,0.077924613,0.080666295,0.012335011,75,9.09E+17,0.5834,0.090239753,0.423,0.069230769,0.079735261,0.010504492,70K,9.72E+17,0.4091,0.486155674,0.33127,0.321840086,0.40399788,0.116188667,60,9.72E+17,0.7608,0.69568398,0.3822,0.510416667,0.6684,0.711442257,0.7686,0.887836433,0.6674,0.685708415,0.69821755,0.133755638,70K,9.09E+17,0.1966,0.284,0.2601,0.298,0.291,0.009899495,75,9.09E+17,0.469,0.540634006,,,0.031898793,0.045543613,0.027832105,0.028806894,0.045966321,0.037037233,0.02569971,0.019999566,0.017529474,0.021704185,0.021233234,0.024941874,0.019135083,0.022038479,0.13540796,0.08964147,0.112524715,0.193767456,0.142165325,0.198156577,0.247287291,0.190988982,0.194473126,0.079119494,0.083069749,0.081094622,0.1505817,,8.1E+17,0.131440201,,,,,,,,,,,,,,,,,,,,,
80K,1.134E+18,0.7517,0.116164426,20K,1.134E+18,,,,,,,,,,,,,80K,1.0605E+18,0.6471,0.093850616,0.4607,0.072164787,0.4104,0.060674157,0.5197,0.078044751,0.081353385,0.013811602,20K,1.0605E+18,0.5975,0.092420727,0.455,0.074468085,0.083444406,0.008976321,80K,1.134E+18,0.415,0.493166964,0.32886,0.319498688,0.406332826,0.122802016,20K,1.134E+18,,0.730843088,0.3969,0.530048077,0.6775,0.72112826,0.7512,0.867737091,0.7149,0.734511456,0.716853594,0.120610851,80K,1.0605E+18,0.1922,0.278,0.2633,0.302,0.29,0.016970563,20K,1.0605E+18,0.4477,0.516080692,,,0.032355043,,,,,,0.026140023,0.020099913,0.016899451,0.021737647,0.021219258,0.025544686,0.020582654,0.02306367,0.1373608,0.088989325,0.113175063,,0.147633222,0.2008544,0.241689062,0.204581995,0.19868967,0.077348762,0.084091753,0.080720258,0.143742914,,9.72E+17,0.122794747,,,,,,,,,,,,,,,,,,,,,
90K,1.296E+18,0.7519,0.116195333,30K,1.296E+18,1.0935,0.169193873,0.4903,0.091066122,0.6256,0.108781082,0.3541,0.131469518,,,0.110438907,0.033711765,90K,1.212E+18,0.6713,0.097360406,0.4621,0.072384085,0.4092,0.060496747,0.5209,0.078224959,0.082656483,0.015380251,30K,1.212E+18,0.6166,0.095375097,0.463,0.075777414,0.085576256,0.009798842,90K,1.296E+18,0.4337,0.515389186,0.34923,0.339288837,0.427339012,0.124521751,30K,1.296E+18,0.8377,0.766002195,0.5341,0.713274573,0.6694,0.712506653,0.7808,0.901929075,0.6895,0.708414672,0.760425434,0.082581646,90K,1.212E+18,0.2154,0.311,0.2512,0.288,0.2995,0.016263456,30K,1.212E+18,0.4521,0.521152738,,,0.032363652,0.047125228,0.025364463,0.030298575,0.03661794,0.034851552,0.027117598,0.020160993,0.016850037,0.02178784,0.021479117,0.026361261,0.020944547,0.023652904,0.143550311,0.094501436,0.119025873,0.213353047,0.198666928,0.198453041,0.251212487,0.19731331,0.211799763,0.086685346,0.080227301,0.083456323,0.145155621,,1.296E+18,0.110438907,,,,,,,,,,,,,,,,,,,,,
100K,1.458E+18,0.7258,0.112161953,40K,1.458E+18,,,,,,,,,,,,,100K,1.3635E+18,0.6885,0.099854967,0.4661,0.073010652,0.3989,0.05897398,0.523,0.078540321,0.08380198,0.016972118,40K,1.3635E+18,0.6338,0.098035576,0.47,0.076923077,0.087479327,0.01055625,100K,1.458E+18,0.4317,0.513012478,0.34467,0.334858642,0.42393556,0.125973786,40K,1.458E+18,,0.766093636,0.5346,0.713942308,0.6356,0.676530069,0.8168,0.943513919,0.6769,0.695469023,0.759109791,0.108355106,100K,1.3635E+18,0.207,0.299,0.2558,0.293,0.296,0.004242641,40K,1.3635E+18,0.4052,0.467089337,,,0.031240243,,,,,,0.027812403,0.02033551,0.016425904,0.021875677,0.021612373,0.027096606,0.021261203,0.024178905,0.142888331,0.093267502,0.118077917,,0.198852911,0.188432556,0.262795029,0.193707585,0.21094702,0.083304859,0.081696432,0.082500645,0.130097451,,1.62E+18,0.129514757,,,,,,,,,,,,,,,,,,,,,
110K,1.62E+18,0.7568,0.116952558,50K,1.62E+18,1.1664,0.180473464,0.494,0.091753343,0.645,0.112154408,0.4973,0.184636519,,,0.129514757,0.047305064,110K,1.515E+18,0.7136,0.103495286,0.5389,0.08441416,0.4075,0.060245417,0.5406,0.081183361,0.089697602,0.017713992,50K,1.515E+18,0.6343,0.098112916,0.439,0.071849427,0.084981172,0.013131745,110K,1.62E+18,0.4129,0.49067142,0.33428,0.324764403,0.407717912,0.117313977,50K,1.62E+18,0.8379,0.766185077,0.4715,0.629674145,0.6179,0.657690261,0.8245,0.952408456,0.6957,0.714784753,0.744148538,0.12776879,110K,1.515E+18,0.21,0.303,0.2486,0.285,0.294,0.012727922,50K,1.515E+18,0.4287,0.494178674,,,0.03257456,0.05026691,0.025555874,0.031238141,0.051426437,0.039621841,0.028826333,0.023511706,0.016780034,0.022611838,0.022932478,0.027117982,0.019858869,0.023488425,0.136665721,0.090455974,0.113560848,0.213403985,0.17538187,0.183185142,0.265272407,0.199087556,0.207266192,0.084512175,0.079396923,0.081954549,0.13764259,,1.944E+18,0.124975056,,,,,,,,,,,,,,,,,,,,,
