0min 100W,,,,60min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,,,,,75min 50W,,,,,,,,0 min 100W,,,,,,,,60 min 100W,,,,,,,,,,,,,,0min 50W,,,,,,,,75min 50W,,,,,,0 min 100W 100%,60 min 100W 100%,,,,,0 min 50W 100%,,,,,75 min 50W 100%,,,0min 100W 11-16%,,,60min 100W 11-16%,,,,,,0min 50W 11-16%,,,75min 50W 11-16%,,,,1020,,,,,,,,,,,60 min 100W,absolute error ,0 min 100 W,error,75min 50W,error,0 min 50 W,error,,
,,110923,,,,101223,,092823 - IR out,,91523,,83123,,102824,,Average,st. dev.,,,010324 -2nd good,,122123 -power surge,,122723 -purge,,121823 -oscillate,,Average,st. dev.,,,010523,,122923 -purge,,Average,st. dev.,,,81524,,81624,,Average,st. dev.,,,71824,,090324 -purge,,92424,,100824 -purge,,101524,,Average,st. dev.,,,82724,,083024 -purge,,Average,st. dev.,,,91724,,,,110923,101223,92823,91523,83123,ave,10324,122123,122723,121823,ave,10524,122923,ave,81524,81624,ave,71824,90324,92424,100824,101524,ave,82724,83024,ave,91724,,,,100%,,,,14-19%,,,,percentage,thickness,,0,0,0,0,0,0,0,0,,
Temp,Fluence,Integrated Absorbance,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Temp,Fluence,Integrated Absorbance,Normalized,Integrated Absorbance,Normalized,Normalized,Normalized,Time/Temp,Fluence,Integrated Absorbance,Normalized,,,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,Propagated 1sigma error,,,,temp,fluence,norm. int. absorbance,error,temp,fluence,norm. int. absorbance,error,,,,1.62E+17,4.2E+16,1.62E+17,4.2E+16,1.515E+17,2.25E+16,1.515E+17,2.25E+16,,0
90,1.296E+18,4.085,0.63127801,30,1.296E+18,3.247,0.502398267,3.576,0.664190193,4.081,0.709615719,1.756,0.65196406,,1.296E+18,0.63204206,,90K,1.212E+18,4.611,0.668745468,4.42,0.69235589,4.599,0.679923122,4.38,0.65775642,0.674695225,,30K,1.212E+18,4.334,0.670378964,4.296,0.703109656,0.68674431,,90K,1.296E+18,0.3252,0.386452763,0.5611,0.545127757,0.46579026,,30K,1.296E+18,0.5663,0.517831017,0.4187,0.559161325,0.5055,0.538052155,0.3911,0.451773132,0.5354,0.550087332,0.523380992,,90K,1.212E+18,0.4646,0.671290276,0.5495,0.630088293,0.650689285,,30K,1.212E+18,0.5614,0.647146974,,,0.030710064,0.017281968,0.032311158,0.034520994,0.031716388,0.028957627,0.03253276,0.033681347,0.033076525,0.031998171,0.032822201,0.032612226,0.03420449,0.033408358,0.018799941,0.026519074,0.022659507,0.025191157,0.027201771,0.026174864,0.02197761,0.026760345,0.025461149,0.032656559,0.030652187,0.031654373,0.031482049,,1.62E+18,0.593702413,,,,,,,,,,,,1.62E+18,4.2E+17,1.62E+18,4.2E+17,1.515E+18,2.25E+17,1.515E+18,2.25E+17,,1.944E+18
100,1.458E+18,3.898,0.602379849,40,1.458E+18,,,,,,,,,,,,,100K,1.3635E+18,4.401,0.638288615,4.259,0.667136592,4.403,0.650946186,4.209,0.632076888,0.64711207,,40K,1.3635E+18,4.255,0.658159319,4.24,0.693944354,0.676051837,,100K,1.458E+18,0.2899,0.344503862,0.5246,0.509666764,0.427085313,,40K,1.458E+18,,,0.4033,0.538595086,0.485,0.516232038,0.367,0.423934388,0.518,0.532210007,0.50274288,,100K,1.3635E+18,0.4429,0.639936425,0.5236,0.600389864,0.620163145,,40K,1.3635E+18,0.5493,0.633198847,,,0.029304242,,,,,,0.031051112,0.032454492,0.031666871,0.030748927,0.031480351,0.032017771,0.033758622,0.032888196,0.016759234,0.024793987,0.02077661,,0.026201276,0.025113371,0.020623326,0.025890658,0.024457158,0.031131274,0.029207434,0.030169354,0.030803508,,1.944E+18,0.55333375,,,,,,,,,,,,1.782E+18,4.62E+17,1.782E+18,4.62E+17,1.6665E+18,2.475E+17,1.6665E+18,2.475E+17,,2.268E+18
110,1.62E+18,3.73,0.576417864,50,1.62E+18,2.923,0.452266749,3.404,0.632243685,3.929,0.683185533,1.6352,0.607113685,,1.62E+18,0.593702413,,110K,1.515E+18,4.192,0.607976795,3.89,0.60933584,4.207,0.621969249,4.02,0.603694248,0.610744033,,50K,1.515E+18,4.16,0.643464811,4.151,0.679378069,0.66142144,,110K,1.62E+18,0.2582,0.306833036,0.486,0.472165549,0.389499293,,50K,1.62E+18,0.4996,0.456839795,0.3911,0.52230235,0.4654,0.495369878,0.3501,0.404412614,0.4946,0.508168088,0.477418545,,110K,1.515E+18,0.4183,0.604392429,0.4934,0.565760807,0.585076618,,50K,1.515E+18,0.5283,0.608991355,,,0.028041258,0.015557497,0.030757042,0.033235232,0.029534531,0.027271076,0.029576519,0.029642633,0.030257217,0.029368184,0.029711138,0.031302921,0.033050009,0.032176465,0.014926644,0.022969649,0.018948146,0.02222409,0.025408676,0.02409848,0.019673641,0.02472108,0.023225194,0.029402149,0.027522819,0.028462484,0.029625875,,2.268E+18,0.507485847,,,,,,,,,,,,1.944E+18,5.04E+17,1.944E+18,5.04E+17,1.818E+18,2.7E+17,1.818E+18,2.7E+17,,2.592E+18
120,1.782E+18,3.567,0.551228558,60,1.782E+18,,,,,,,,,,,,,120K,1.6665E+18,4.053,0.587817259,3.796,0.594611529,4.102,0.60644589,3.91,0.587175252,0.594012483,,60K,1.6665E+18,4.057,0.627532869,4.057,0.663993453,0.645763161,,120K,1.782E+18,0.2284,0.271420083,0.4408,0.42825221,0.349836147,,60K,1.782E+18,,,0.3796,0.506944444,0.4461,0.474827036,0.3347,0.386623542,0.4759,0.488955101,0.464337531,,120K,1.6665E+18,0.3813,0.550931946,0.4531,0.51955051,0.535241228,,60K,1.6665E+18,0.5137,0.592161383,,,0.026815862,,,,,,0.028595809,0.028926333,0.029502045,0.028564577,0.028897191,0.030527872,0.032301587,0.03141473,0.013203894,0.020833377,0.017018636,,0.024661553,0.023099123,0.018808249,0.023786418,0.022588836,0.026801433,0.025274806,0.02603812,0.02880714,,2.592E+18,0.456717445,,,,,,,,,,,,2.106E+18,5.46E+17,2.106E+18,5.46E+17,1.9695E+18,2.925E+17,1.9695E+18,2.925E+17,,2.916E+18
130,1.944E+18,3.452,0.533456962,70,1.944E+18,2.614,0.404456135,3.203,0.594910847,3.755,0.652929925,1.5111,0.561038093,,1.944E+18,0.55333375,,130K,1.818E+18,3.866,0.560696157,3.634,0.569235589,3.937,0.58205204,3.798,0.570355909,0.570584924,,70K,1.818E+18,3.928,0.607579273,3.955,0.647299509,0.627439391,,130K,1.944E+18,0.2003,0.238027332,0.392,0.380841349,0.309434341,,70K,1.944E+18,0.4556,0.416605706,0.3594,0.479967949,0.425,0.452368281,0.3149,0.363751877,0.4552,0.46768725,0.436076213,,130K,1.818E+18,0.336,0.485478977,0.405,0.464396285,0.474937631,,70K,1.818E+18,0.4947,0.570259366,,,0.02595132,0.013912862,0.028940894,0.031763374,0.027293071,0.025477551,0.027276437,0.027691859,0.028315346,0.027746359,0.0277575,0.029557181,0.031489469,0.030523325,0.011579422,0.01852696,0.015053191,0.020266804,0.023349216,0.022006562,0.0176956,0.022751791,0.021213995,0.023617313,0.022591694,0.023104504,0.027741663,,2.916E+18,0.410147585,,,,,,,,,,,,2.268E+18,5.88E+17,2.268E+18,5.88E+17,2.121E+18,3.15E+17,2.121E+18,3.15E+17,,3.24E+18
140,2.106E+18,3.109,0.480451244,80,2.106E+18,,,,,,,,,,,,,140K,1.9695E+18,3.532,0.512255257,3.354,0.52537594,3.585,0.530011827,3.463,0.520048055,0.52192277,,80K,1.9695E+18,3.781,0.584841454,3.833,0.627332242,0.606086848,,140K,2.106E+18,0.1543,0.183363042,0.2989,0.290391528,0.236877285,,80K,2.106E+18,,,0.345,0.46073718,0.406,0.432144758,0.2991,0.345500751,0.438,0.450015412,0.422099525,,140K,1.9695E+18,0.2185,0.315705823,0.2934,0.336429309,0.326067566,,80K,1.9695E+18,0.4782,0.551239193,,,0.023372727,,,,,,0.024919911,0.025558199,0.025783723,0.025299011,0.025390211,0.028451044,0.030518112,0.029484578,0.008920144,0.014126807,0.011523475,,0.022413688,0.02102274,0.01680773,0.021892101,0.020534065,0.015358283,0.016366427,0.015862355,0.02681638,,3.24E+18,0.273211494,,,,,,,,,,,,2.43E+18,6.3E+17,2.43E+18,6.3E+17,2.2725E+18,3.375E+17,2.2725E+18,3.375E+17,,3.564E+18
150,2.268E+18,2.823,0.436254057,90,2.268E+18,2.281,0.352932075,2.973,0.552191679,3.528,0.613458529,1.3773,0.511361105,,2.268E+18,0.507485847,,150K,2.121E+18,3.072,0.445540247,2.828,0.442982456,3.077,0.454908338,3.068,0.460729839,0.45104022,,90K,2.121E+18,3.632,0.561794277,3.711,0.607364976,0.584579627,,150K,2.268E+18,0.1004,0.119310755,0.1835,0.178276499,0.148793627,,90K,2.268E+18,0.4147,0.379206291,0.3256,0.43482906,0.384,0.408728047,0.2748,0.317430981,0.4154,0.426795438,0.393397963,,150K,2.121E+18,0.1093,0.157925155,0.1559,0.178763903,0.168344529,,90K,2.121E+18,0.4634,0.534178674,,,0.021222646,0.012140489,0.026862716,0.029843192,0.024876413,0.023430702,0.021674396,0.021549966,0.02213013,0.022413331,0.021941956,0.027329858,0.029546756,0.028438307,0.005804164,0.008672697,0.00723843,0.018447418,0.021153324,0.019883576,0.015442207,0.020762509,0.019137807,0.007682656,0.008696408,0.008189532,0.025986429,,3.564E+18,0.1593093,,,,,,,,,,,,2.592E+18,6.72E+17,2.592E+18,6.72E+17,2.424E+18,3.6E+17,2.424E+18,3.6E+17,,3.888E+18
160,2.43E+18,2.1102,0.326101066,100,2.43E+18,,,,,,,,,,,,,160K,2.2725E+18,2.212,0.320812183,1.996,0.312656642,2.09,0.308988764,2.132,0.320168193,0.315656446,,100K,2.2725E+18,3.478,0.537973705,3.572,0.584615385,0.561294545,,160K,2.43E+18,0.0475,0.056446821,0.0967,0.093947343,0.075197082,,100K,2.43E+18,,,0.3095,0.413327992,0.364,0.387440128,0.2571,0.296985099,0.3948,0.40563033,0.375845887,,160K,2.2725E+18,0.0361,0.052160092,0.0483,0.055383557,0.053771825,,100K,2.2725E+18,0.4441,0.511930836,,,0.015863985,,,,,,0.015606694,0.015209948,0.015031515,0.015575365,0.01535588,0.026171048,0.028440046,0.027305547,0.002745994,0.004570298,0.003658146,,0.020107352,0.018847973,0.014447567,0.01973288,0.018283943,0.002537455,0.002694269,0.002615862,0.024904129,,3.888E+18,0.090574054,,,,,,,,,,,,2.754E+18,7.14E+17,2.754E+18,7.14E+17,2.5755E+18,3.825E+17,2.5755E+18,3.825E+17,,4.212E+18
170,2.592E+18,1.459,0.22546747,110,2.592E+18,1.96,0.303264738,2.709,0.503157504,3.219,0.559728743,1.2409,0.460718794,,2.592E+18,0.456717445,,170K,2.424E+18,1.542,0.223640319,1.367,0.214129073,1.414,0.209047901,1.145,0.17194774,0.204691258,,110K,2.424E+18,3.304,0.511059551,3.429,0.561211129,0.53613534,,170K,2.592E+18,0.0161,0.019132501,0.0441,0.042844652,0.030988577,,110K,2.592E+18,0.3694,0.337783467,0.2929,0.391159188,0.3394,0.361255987,0.2277,0.263024142,0.3696,0.379739032,0.346592363,,170K,2.424E+18,0.0122,0.01762751,0.006,0.006879945,0.012253728,,110K,2.424E+18,0.4219,0.486340058,,,0.010968417,0.010431986,0.024477328,0.027229375,0.022412793,0.021137871,0.010879531,0.010416833,0.010169647,0.008364819,0.009957707,0.024861743,0.027301489,0.026081616,0.000930747,0.002084283,0.001507515,0.016432304,0.019028896,0.017574182,0.012795453,0.018473335,0.016860834,0.000857533,0.000334692,0.000596113,0.023659203,,4.212E+18,0.058302571,,,,,,,,,,,,2.916E+18,7.56E+17,2.916E+18,7.56E+17,2.727E+18,4.05E+17,2.727E+18,4.05E+17,,4.536E+18
180,2.754E+18,0.972,0.150208623,120,2.754E+18,,,,,,,,,,,,,180K,2.5755E+18,1.077,0.156200145,0.917,0.143640351,1.004,0.14843288,0.96,0.144165791,0.148109792,,120K,2.5755E+18,3.206,0.495901005,3.365,0.550736498,0.523318752,,180K,2.754E+18,0.0278,0.033036245,0.0341,0.033129311,0.033082778,,120K,2.754E+18,,,0.2713,0.362313034,0.3107,0.330707823,0.2039,0.23553194,0.3395,0.348813316,0.319341528,,180K,2.5755E+18,0.0084,0.012136974,0.0105,0.012039904,0.012088439,,120K,2.5755E+18,0.3932,0.453256484,,,0.007307266,,,,,,0.007598738,0.006987736,0.007220881,0.007013298,0.007205163,0.024124318,0.026791925,0.025458122,0.001607129,0.001611656,0.001609393,,0.017625604,0.016088092,0.011458028,0.016968878,0.01553515,0.000590433,0.000585711,0.000588072,0.022049771,,4.536E+18,0.051995607,,,,,,,,,,,,3.078E+18,7.98E+17,3.078E+18,7.98E+17,2.8785E+18,4.275E+17,2.8785E+18,4.275E+17,,4.86E+18
